scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
14-Nov-20,Introdus: Azi,42,Iasi,Tatarasi ,Detached,Furnished,1,2,8,40 mp,2021
14-Nov-20,Introdus: Azi,39.9,Iasi,Tatarasi ,Semi_detached,Furnished,1,2,10,39 mp,2021 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,45.65,Iasi,Copou ,Detached,Furnished,2,3,10,50 mp,2021 (in constructie)
14-Nov-20,Actualizat în 05.11.2020,43.8,Iasi,Pacurari ,Detached,Furnished,2,1,4,53 mp,2020
14-Nov-20,Actualizat în 10.11.2020,50.4,Iasi,Tudor Vladimirescu ,Detached,Furnished,2,6,9,46 mp,2020
14-Nov-20,Actualizat în 10.11.2020,46.6,Iasi,Cug ,Detached,Furnished,2,4,6,49 mp,2020
14-Nov-20,Actualizat în 10.11.2020,32,Iasi,Bucium ,Detached,Furnished,2,1,2,51 mp,2020
14-Nov-20,Actualizat azi,45.6,Iasi,Copou ,Detached,Furnished,2,2,10,50 mp,2021
14-Nov-20,Actualizat în 12.11.2020,53.655,Iasi,Tatarasi ,Detached,Furnished,2,3,8,58 mp,2021 (in constructie)
14-Nov-20,Actualizat în 10.09.2020,53.4,Iasi,Podul de Piatra ,Detached,Unfurnished,1,4,10,35.6 mp,2022 (proiect)
14-Nov-20,Actualizat în 30.10.2020,65.5,Iasi,Nicolina ,Detached,Unfurnished,2,Parter,N/A,53 mp,2020 (in constructie)
14-Nov-20,Actualizat în 07.10.2020,50.9,Iasi,Galata ,Detached,Unfurnished,1,Demisol,3,55 mp,2020 (in constructie)
14-Nov-20,Actualizat în 05.11.2020,90,Iasi,Copou ,Detached,Furnished,3,3,3,89.17 mp,2021 (in constructie)
14-Nov-20,Actualizat în 10.07.2020,68.17,Iasi,Copou ,Detached,Furnished,2,4,12,59.8 mp,2021 (in constructie)
14-Nov-20,Actualizat în 20.10.2020,44.485,Iasi,Frumoasa ,Detached,Furnished,1,3,15,41 mp,2021 (in constructie)
14-Nov-20,Actualizat în 20.10.2020,84.088,Iasi,Frumoasa ,Detached,Furnished,3,Etaj 7,N/A,77.5 mp,2021 (in constructie)
14-Nov-20,Actualizat în 06.05.2020,64.7,Iasi,Copou ,Detached,Furnished,2,1,11,59.04 mp,N/A
14-Nov-20,Actualizat în 03.07.2020,67.7,Iasi,Copou ,Detached,Furnished,1,1,4,41 mp,2020 (in constructie)
14-Nov-20,Actualizat în 03.07.2020,107.3,Iasi,Copou ,Detached,Furnished,2,1,4,65 mp,2020 (in constructie)
14-Nov-20,Actualizat în 30.10.2020,55.5,Iasi,Nicolina ,Detached,Unfurnished,2,Parter,3,45 mp,2021 (in constructie)
14-Nov-20,Actualizat în 09.09.2020,120.5,Iasi,Copou ,Detached,Furnished,3,1,4,73 mp,2020 (in constructie)
14-Nov-20,Actualizat în 07.10.2020,59.5,Iasi,Galata ,Detached,Unfurnished,3,Parter,3,64 mp,2020 (in constructie)
14-Nov-20,Actualizat azi,62.17,Iasi,Tatarasi ,Detached,Furnished,2,1,10,65.6 mp,2021 (in constructie)
14-Nov-20,Actualizat în 11.11.2020,69,Iasi,Tatarasi ,N/A,Unfurnished,2,Parter,6,53 mp,2020 (finalizata)
14-Nov-20,Actualizat în 06.05.2020,70.9,Iasi,Copou ,Detached,Furnished,2,2,11,65.53 mp,2020 (in constructie)
14-Nov-20,Actualizat în 05.11.2020,45.13,Iasi,Pacurari ,Detached,Unfurnished,2,Parter,3,48 mp,2020 (finalizata)
14-Nov-20,Actualizat în 06.11.2020,33.3,Iasi,Pacurari ,N/A,Unfurnished,1,Parter,3,37 mp,2020 (finalizata)
14-Nov-20,Actualizat ieri,48.5,Iasi,Galata ,Detached,Unfurnished,2,1,4,59 mp,2020 (finalizata)
14-Nov-20,Actualizat ieri,65,Iasi,Nicolina ,Detached,Unfurnished,2,2,4,53.27 mp,1986
14-Nov-20,Actualizat în 09.11.2020,48,Iasi,Popas Pacurari ,Detached,Furnished,2,1,3,53 mp,2020 (finalizata)
14-Nov-20,Actualizat în 05.11.2020,45.45,Iasi,Pacurari ,Detached,Unfurnished,2,Parter,3,50.5 mp,2020 (finalizata)
14-Nov-20,Actualizat ieri,45,Iasi,Valea Adânca ,Detached,Unfurnished,2,3,3,53 mp,2020 (finalizata)
14-Nov-20,Actualizat în 20.10.2020,65.643,Iasi,Frumoasa ,Detached,N/A,2,Etaj 1,N/A,60.5 mp,2021 (in constructie)
14-Nov-20,Actualizat în 06.05.2020,50,Iasi,Copou ,Detached,Furnished,2,1,11,45.64 mp,N/A
14-Nov-20,Actualizat în 10.07.2020,116.595,Iasi,Copou ,Detached,Furnished,2,5,5,61.22 mp,2019
14-Nov-20,Actualizat în 20.10.2020,39.603,Iasi,Frumoasa ,Detached,Furnished,1,5,15,36.5 mp,2021 (in constructie)
