scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat în 12.11.2020,130.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 04.11.2020,355.000,Iasi,Copou ,House,N/A,7,N/A,N/A,200 mp,2001
"November 15, 2020",Actualizat ieri,170.000,Iasi,Copou ,House,Unfurnished,4,N/A,N/A,125 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,97.000,Iasi,Nord-Vest ,House,N/A,4,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,145.000,Iasi,Bucium ,House,N/A,5,N/A,N/A,143 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,79.000,Iasi,Exterior Vest ,House,N/A,3,N/A,N/A,75 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,110.000,Iasi,Central ,House,N/A,4,N/A,N/A,105 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 12.11.2020,130.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.12.2019,131.500,Iasi,Copou ,House,N/A,5,N/A,N/A,122 mp,2019
"November 15, 2020",Actualizat în 08.09.2020,120.000,Iasi,Lunca Cetatuii ,House,Furnished,4,N/A,N/A,110 mp,2012
"November 15, 2020",Actualizat în 02.11.2020,79.900,Iasi,Popas Pacurari ,House,N/A,3,N/A,N/A,85 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 18.09.2020,79.000,Iasi,Pacurari ,House,Unfurnished,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 12.11.2020,130.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 02.10.2020,129.900,Iasi,Bucium ,House,N/A,5,N/A,N/A,120 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 09.11.2020,98.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,156 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 13.11.2020,99.000,Iasi,Bucium ,House,Unfurnished,4,N/A,N/A,100 mp,2021 (la gri)
"November 15, 2020",Actualizat ieri,79.900,Iasi,Miroslava ,House,N/A,3,N/A,N/A,80 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 30.09.2020,145.000,Iasi,Bucium ,House,N/A,4,N/A,N/A,134 mp,2019
"November 15, 2020",Actualizat ieri,99.999,Iasi,Popas Pacurari ,House,N/A,4,N/A,N/A,104 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 09.11.2020,160.000,Iasi,Pacurari ,House,N/A,5,N/A,N/A,200 mp,2020 (la rosu)
"November 15, 2020",Actualizat în 11.11.2020,95.000,Iasi,Cug ,House,Unfurnished,5,N/A,N/A,130 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 13.11.2020,149.900,Iasi,Popas Pacurari ,House,Furnished,6,N/A,N/A,230 mp,2006
"November 15, 2020",Actualizat în 15.10.2020,210.000,Iasi,Central ,House,N/A,4,N/A,N/A,158.4 mp,1960
"November 15, 2020",Actualizat în 20.10.2020,130.000,Iasi,Central ,House,N/A,5,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 13.11.2020,129.000,Iasi,Valea Adânca ,House,Furnished,4,N/A,N/A,142 mp,2019
"November 15, 2020",Actualizat în 09.11.2020,169.000,Iasi,Pacurari ,House,Furnished,5,N/A,N/A,210 mp,2008
"November 15, 2020",Actualizat în 07.09.2019,109.500,Iasi,Pietrarie ,House,Furnished,3,N/A,N/A,129 mp,2013
"November 15, 2020",Actualizat ieri,210.000,Iasi,Bucium ,House,Furnished,7,N/A,N/A,350 mp,2008
"November 15, 2020",Actualizat în 12.11.2020,155.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 12.11.2020,130.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 09.11.2020,650.000,Iasi,Bucium ,House,Furnished,7,N/A,N/A,335 mp,2010
"November 15, 2020",Actualizat în 12.11.2020,75.400,Iasi,Valea Adânca ,House,N/A,3,N/A,N/A,75 mp,2017
"November 15, 2020",Actualizat în 12.11.2020,155.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 11.11.2020,285.000,Iasi,Copou ,House,N/A,5,N/A,N/A,148 mp,2020
"November 15, 2020",Actualizat în 14.10.2020,365.000,Iasi,Bucium ,House,Furnished,5,N/A,N/A,365 mp,2006
"November 15, 2020",Actualizat în 12.11.2020,160.000,Iasi,Galata ,House,Furnished,4,N/A,N/A,118.4 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,85.000,Iasi,Exterior Nord ,House,N/A,4,N/A,N/A,83 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,130.000,Iasi,Central ,House,N/A,4,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,299.000,Iasi,Exterior Nord ,House,Furnished,7,N/A,N/A,407 mp,2015
"November 15, 2020",Actualizat în 24.09.2020,89.900,Iasi,Miroslava ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,79.000,Iasi,Popas Pacurari ,House,Unfurnished,3,N/A,N/A,78 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,59.000,Iasi,Miroslava ,House,N/A,3,N/A,N/A,70 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,93.000,Iasi,Exterior Vest ,House,Unfurnished,4,N/A,N/A,90 mp,2019
"November 15, 2020",Actualizat în 02.11.2020,190.000,Iasi,Galata ,House,Furnished,5,N/A,N/A,134 mp,2014
"November 15, 2020",Actualizat în 08.11.2020,109.000,Iasi,Tudor Vladimirescu ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 16.10.2020,125.000,Iasi,Bucium ,House,N/A,4,N/A,N/A,109 mp,2021 (in constructie)
"November 15, 2020",Actualizat ieri,95.000,Iasi,Popas Pacurari ,House,N/A,4,N/A,N/A,107 mp,2020 (finalizata)
"November 15, 2020",Actualizat azi,259.000,Iasi,Copou ,House,N/A,4,N/A,N/A,140 mp,Între 1941 ºi 1977
"November 15, 2020",Actualizat în 09.11.2020,580.000,Iasi,Galata ,House,Furnished,7,N/A,N/A,415 mp,2015
"November 15, 2020",Actualizat ieri,80.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,100 mp,2020 (in constructie)
"November 15, 2020",Actualizat ieri,95.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,120 mp,2019
"November 15, 2020",Actualizat ieri,99.500,Iasi,Bucium ,House,N/A,5,N/A,N/A,151.45 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 16.09.2020,172.000,Iasi,Popas Pacurari ,House,Furnished,6,N/A,N/A,193 mp,2012
"November 15, 2020",Actualizat ieri,67.900,Iasi,Miroslava ,House,N/A,3,N/A,N/A,82 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 10.08.2020,249.000,Iasi,Bucium ,House,Furnished,5,N/A,N/A,207.22 mp,2006
"November 15, 2020",Actualizat în 12.11.2020,72.500,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,95 mp,2019
"November 15, 2020",Actualizat în 29.10.2020,45.000,Iasi,Frumoasa ,House,N/A,3,N/A,N/A,95 mp,2019
"November 15, 2020",Actualizat în 06.10.2020,85.500,Iasi,Miroslava ,House,N/A,4,N/A,N/A,100 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,149.000,Iasi,Bucium ,House,Furnished,7,N/A,N/A,420 mp,2008
"November 15, 2020",Actualizat ieri,165.000,Iasi,Central ,House,Furnished,3,N/A,N/A,65 mp,1975
"November 15, 2020",Actualizat în 11.11.2020,119.900,Iasi,Frumoasa ,House,Furnished,3,N/A,N/A,109 mp,2017
"November 15, 2020",Actualizat ieri,100.000,Iasi,Popas Pacurari ,House,N/A,5,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,99.000,Iasi,Bucium ,House,Furnished,4,N/A,N/A,100 mp,2019
"November 15, 2020",Actualizat în 05.11.2020,99.000,Iasi,Lunca Cetatuii ,House,Furnished,5,N/A,N/A,110 mp,2015
"November 15, 2020",Actualizat în 30.10.2020,165.000,Iasi,Popas Pacurari ,House,Furnished,3,N/A,N/A,220 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 09.11.2020,88.900,Iasi,Valea Adânca ,House,Unfurnished,4,N/A,N/A,100 mp,2019
"November 15, 2020",Actualizat în 21.10.2020,165.000,Iasi,Bucium ,House,Furnished,4,N/A,N/A,130 mp,2007
"November 15, 2020",Actualizat în 09.11.2020,92.000,Iasi,Popas Pacurari ,House,N/A,3,N/A,N/A,115 mp,2019
"November 15, 2020",Actualizat în 05.11.2020,320.000,Iasi,Popas Pacurari ,House,Furnished,6,N/A,N/A,242 mp,2018
"November 15, 2020",Actualizat în 11.11.2020,91.000,Iasi,Central ,House,Unfurnished,1,N/A,N/A,64 mp,1938
"November 15, 2020",Actualizat în 07.07.2020,131.500,Iasi,Copou ,House,Unfurnished,5,N/A,N/A,122 mp,2019
"November 15, 2020",Actualizat în 21.10.2020,260.000,Iasi,Sararie ,House,Unfurnished,7,N/A,N/A,230 mp,1932
"November 15, 2020",Actualizat în 21.10.2020,130.000,Iasi,Galata ,House,N/A,4,N/A,N/A,118 mp,2020
"November 15, 2020",Actualizat ieri,129.900,Iasi,Bucium ,House,N/A,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 20.10.2020,100.000,Iasi,Popas Pacurari ,House,Unfurnished,4,N/A,N/A,118 mp,2019
"November 15, 2020",Actualizat în 05.11.2020,85.000,Iasi,Lunca Cetatuii ,House,N/A,5,N/A,N/A,120 mp,2019
"November 15, 2020",Actualizat în 12.06.2020,55.000,Iasi,Pacurari ,House,N/A,3,N/A,N/A,60 mp,2020 (in constructie)
"November 15, 2020",Actualizat ieri,500.000,Iasi,Copou ,House,Furnished,6,N/A,N/A,370 mp,2019
"November 15, 2020",Actualizat ieri,115.000,Iasi,Valea Adânca ,House,N/A,5,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,115.000,Iasi,Bucium ,House,N/A,3,N/A,N/A,150 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 29.10.2020,89.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,100 mp,2019
