productId,size,locationId,productType,furnishType,floorNumber,numberOfFloors,yearOfConstruction,numberOfRooms
ba01813d-2fe3-401e-b6f0-c78a63390686,39,d81e7e4c-6b17-4a12-ad69-7cc4ca50e486,DETACHED,UNFURNISHED,8,8,2021,1
211d93df-4e9d-4389-9e83-a2eb9e26a0d5,61,04fcf964-9c4f-469c-9ce9-dee457fa9434,DETACHED,NULL,4,4,2020,2
629dcdb2-73d2-4d42-aa49-76c7253c1111,88,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,NULL,10,10,2021,3
4ed4953d-69e9-4289-aa49-d8d596d845d6,33,de8a872c-cff6-4767-b62a-ea1518b2487f,DETACHED,UNFURNISHED,6,6,2022,1
c605b8cc-759f-4429-b21e-95c4a7606b78,43,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,3,3,2020,2
2090ac61-3ba1-4d4c-8511-116b43cab8d8,47,3875bcd7-3eb6-4dae-9483-122bc88bef1b,DETACHED,NULL,3,3,2020,2
eac5390d-2a5b-417f-878a-51c527e71794,46,64b99b16-d8db-403f-9076-7bff8e170bae,DETACHED,NULL,9,9,2020,2
3a9c8d9c-bccd-4ffb-b06f-ff302aca3828,51,933e1840-0fd0-4fc7-83c4-6af598cada87,DETACHED,NULL,6,6,2020,2
d893b34e-a901-435d-b9d0-3bac9946e450,35.6,b6ae948e-cf8e-4328-85b7-68bd0e998c78,DETACHED,NULL,10,10,2022,1
f96a23c2-c39d-4b6f-a4aa-0c5107f3c07a,50,56bad621-fc55-40bb-89f9-f3bc1dd14abe,SEMI_DETACHED,NULL,11,11,2021,2
86b5898a-0093-4ffd-b7dd-3b67502db1dc,53,cc33fe64-3a31-481b-8f06-8cedca2d2617,DETACHED,NULL,NULL,NULL,2020,2
ff09d79d-6d67-4788-86e9-97850f7bd655,55,b1af0bb2-7e73-424c-b317-12b2ef0923a2,DETACHED,NULL,3,3,2020,1
103b15bb-fec4-4a69-81ee-36a7b2567574,37,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,4,4,2021,1
a27b525b-d758-4938-b226-3ee4f92b3f8c,50,56bad621-fc55-40bb-89f9-f3bc1dd14abe,SEMI_DETACHED,UNFURNISHED,10,10,2020,2
3d614f4d-6ae7-4074-a40d-f167fa21d6bc,89.17,56bad621-fc55-40bb-89f9-f3bc1dd14abe,DETACHED,UNFURNISHED,3,3,2021,3
